"Date","Price","Open","High","Low","Change %"
"Nov 04, 2020","5.864","5.895","5.895","5.856","0.00%"
"Nov 03, 2020","5.864","5.863","5.881","5.856","0.33%"
"Nov 02, 2020","5.845","5.840","5.906","5.837","0.36%"
"Oct 29, 2020","5.824","5.853","5.853","5.817","-0.10%"
"Oct 28, 2020","5.830","5.825","5.840","5.812","0.34%"
"Oct 27, 2020","5.810","5.809","5.838","5.802","0.10%"
"Oct 26, 2020","5.804","5.776","5.822","5.768","-0.10%"
"Oct 23, 2020","5.810","5.851","5.851","5.808","-0.72%"
"Oct 22, 2020","5.852","5.852","5.860","5.842","0.17%"
"Oct 21, 2020","5.842","5.852","5.902","5.834","-0.10%"
"Oct 20, 2020","5.848","5.877","5.877","5.848","-0.22%"
"Oct 19, 2020","5.861","5.960","5.960","5.858","-0.42%"
"Oct 16, 2020","5.886","5.944","5.944","5.875","0.43%"
"Oct 15, 2020","5.861","5.879","5.879","5.843","-0.15%"
"Oct 14, 2020","5.870","5.876","5.904","5.860","0.00%"
"Oct 13, 2020","5.870","5.913","5.913","5.860","-0.07%"
"Oct 12, 2020","5.874","5.979","5.979","5.872","-0.81%"
"Oct 09, 2020","5.922","6.037","6.054","5.905","-1.53%"
"Oct 08, 2020","6.014","6.055","6.055","6.014","-0.41%"
"Oct 07, 2020","6.039","6.055","6.055","6.038","-0.28%"
"Oct 06, 2020","6.056","6.064","6.081","6.046","0.41%"
"Oct 05, 2020","6.031","6.081","6.081","6.021","-0.15%"
"Oct 01, 2020","6.040","6.098","6.104","6.040","-1.02%"
"Sep 30, 2020","6.102","6.132","6.136","6.091","-0.28%"
"Sep 29, 2020","6.119","6.166","6.166","6.116","-0.10%"
"Sep 28, 2020","6.125","6.133","6.150","6.116","0.46%"
"Sep 25, 2020","6.097","6.133","6.167","6.082","0.05%"
"Sep 24, 2020","6.094","6.101","6.168","6.092","-0.07%"
"Sep 23, 2020","6.098","6.129","6.129","6.093","-0.07%"
"Sep 22, 2020","6.102","6.143","6.143","6.097","-0.05%"
"Sep 21, 2020","6.105","6.095","6.119","6.085","-0.10%"
